57917.930    17.643     0.192
57920.992    18.062     0.087
57921.957    17.643     0.087
57922.938    17.818     0.087
57923.953    18.027     0.087
57924.953    17.922     0.087
57925.926    17.853     0.087
57929.914    17.591     0.087
57930.930    17.713     0.087
57931.934    17.818     0.087
57932.906    17.818     0.087
57933.938    17.870     0.087
57935.895    17.382     0.070
57936.965    17.382     0.087
57937.957    17.138     0.087
57938.902    16.824     0.087
57939.902    16.876     0.157
57951.871    16.650     0.105
57952.859    16.284     0.087
57953.902    16.284     0.122
57956.848    16.301     0.122
57957.836    16.458     0.105
57958.848    16.440     0.122
57959.824    16.667     0.139
57960.871    16.894     0.087
57961.828    16.981     0.087
57962.855    16.946     0.087
57963.828    16.981     0.105
57964.879    16.754     0.122
57965.832    16.737     0.087
57966.816    16.597     0.105
57967.840    16.702     0.122
57968.828    16.876     0.105
57969.820    16.667     0.105
57970.840    16.650     0.174
57971.828    16.719     0.139
57973.848    16.772     0.209
57974.801    16.911     0.192
57975.797    17.120     0.105
57976.824    17.190     0.157
57977.836    17.556     0.122
57978.875    17.748     0.105
57979.844    18.027     0.122
57982.797    17.765     0.122
57983.793    17.905     0.122
57987.750    18.149     0.122
57988.789    18.097     0.105
57989.781    18.323     0.105
57990.734    18.480     0.105
57991.789    18.550     0.122
57992.789    18.777     0.139
57993.785    18.899     0.122
57995.785    18.341     0.157
57996.785    18.271     0.174
57997.781    17.783     0.174
57999.781    17.678     0.157
58000.785    17.556     0.174
58003.723    17.452     0.157
58004.723    17.469     0.209
58006.719    17.417     0.174
58007.793    17.469     0.105
58008.719    17.469     0.105
58009.715    17.609     0.174
58016.707    17.399     0.105
58017.707    17.609     0.105
