57873.863     8.033     0.194
57873.975     7.991     0.304
57876.769     7.983     0.270
57877.770     8.101     0.084
57878.970     8.160     0.093
57879.031     8.185     0.093
57879.966     8.236     0.118
57880.874     8.210     0.093
57880.963     8.244     0.101
57881.771     8.193     0.084
57882.772     8.278     0.110
57882.983     8.185     0.135
57883.772     8.126     0.152
57883.933     8.084     0.135
57884.782     8.033     0.152
57884.982     8.025     0.118
57885.775     8.025     0.084
57886.798     8.075     0.101
57886.982     7.999     0.084
57887.011     7.890     0.211
57888.803     7.847     0.110
57889.788     7.805     0.135
57890.778     7.847     0.160
57891.000     7.940     0.194
57891.816     8.058     0.160
57892.033     7.957     0.177
57892.956     8.177     0.101
57893.825     8.067     0.059
57895.828     7.999     0.093
57896.779     7.991     0.068
57898.828     8.058     0.084
57899.787     8.126     0.101
57900.795     8.269     0.101
57901.784     8.328     0.118
57902.814     8.472     0.084
57904.784     8.379     0.093
57904.924     8.312     0.059
57905.784     8.269     0.068
57906.784     8.219     0.076
57907.786     8.286     0.110
57909.841     8.345     0.093
57909.945     8.413     0.084
57910.786     8.556     0.084
57911.786     8.742     0.127
57912.903     8.902     0.101
57914.866     9.020     0.101
57915.802     8.953     0.084
57916.789     8.936     0.093
57917.772     9.096     0.084
57920.880     9.274     0.127
57921.843     9.333     0.110
57922.789     9.442     0.076
57923.790     9.248     0.076
57924.788     9.189     0.093
57925.781     9.257     0.068
57927.873     9.349     0.076
57929.844     9.181     0.059
57930.856     9.046     0.076
57931.757     9.020     0.084
57932.832     8.944     0.076
57933.868     8.818     0.093
57934.885     8.700     0.101
57935.789     8.590     0.093
57936.895     8.523     0.068
57937.883     8.666     0.101
57938.770     8.582     0.152
57939.824     8.649     0.076
57952.793     8.480     0.084
